fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,total_acidity,sugar_alcohol_ratio,mineral_index,mean_acidity,total_sulfur,alcohol_quality_interaction,acidity_pH_balance
7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,3,9.000000000000002,1.164835164835165,0.984,3.0000000000000004,260.0,27.299999999999997,2.7526132404181185
8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3,9.05,0.09274193548387095,0.353,3.016666666666667,114.0,37.2,2.59375
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,3,9.5,1.4136363636363638,0.687,3.1666666666666665,402.0,33.0,2.8289473684210527
7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,3,8.06,0.5054945054945055,0.553,2.686666666666667,142.0,27.299999999999997,2.3885350318471334
6.7,0.25,0.26,1.55,0.041,118.5,216.0,0.9949,3.55,0.63,9.4,3,7.21,0.16489361702127658,0.671,2.4033333333333333,334.5,28.200000000000003,1.887323943661972
7.1,0.49,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,3,7.81,0.18181818181818182,0.417,2.603333333333333,454.0,33.0,2.191358024691358
11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,3,12.410000000000002,1.1443298969072166,0.5840000000000001,4.136666666666668,138.0,29.099999999999998,4.027303754266212
7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,3,8.45,0.11538461538461538,0.5740000000000001,2.8166666666666664,62.0,31.200000000000003,2.4918032786885247
6.1,0.2,0.34,9.5,0.041,38.0,201.0,0.995,3.14,0.44,10.1,3,6.64,0.9405940594059407,0.481,2.2133333333333334,239.0,30.299999999999997,1.9426751592356686
4.2,0.215,0.23,5.1,0.041,64.0,157.0,0.99688,3.42,0.44,8.0,3,4.6450000000000005,0.6375,0.481,1.5483333333333336,221.0,24.0,1.2280701754385965
9.4,0.24,0.29,8.5,0.037,124.0,208.0,0.99395,2.9,0.38,11.0,3,9.93,0.7727272727272727,0.417,3.31,332.0,33.0,3.241379310344828
6.2,0.23,0.35,0.7,0.051,24.0,111.0,0.9916,3.37,0.43,11.0,3,6.78,0.06363636363636363,0.481,2.2600000000000002,135.0,33.0,1.8397626112759644
6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52,10.5,3,7.3999999999999995,1.438095238095238,0.5800000000000001,2.4666666666666663,204.0,31.5,2.0987654320987654
6.1,0.26,0.25,2.9,0.047,289.0,440.0,0.99314,3.44,0.64,10.5,3,6.609999999999999,0.2761904761904762,0.687,2.203333333333333,729.0,31.5,1.7732558139534882
5.1,1.07,1.37,54.1,0.474,109.3,271.9,1.02061,3.04,1.14,13.2,3,7.54,4.098484848484849,1.6139999999999999,2.513333333333333,381.2,39.599999999999994,1.6776315789473684
13.3,1.39,0.8,41.9,0.2,145.0,348.6,1.00556,3.01,1.67,12.2,3,15.490000000000002,3.4344262295081966,1.8699999999999999,5.163333333333334,493.6,36.599999999999994,4.418604651162791
11.5,1.22,1.19,38.9,0.216,235.8,367.0,1.0148,3.38,1.81,11.2,3,13.91,3.4732142857142856,2.0260000000000002,4.636666666666667,602.8,33.599999999999994,3.4023668639053257
9.4,1.21,1.01,53.5,0.238,182.7,296.0,1.01616,3.03,0.96,11.6,3,11.62,4.612068965517241,1.198,3.873333333333333,478.7,34.8,3.1023102310231025
11.8,0.67,0.86,34.6,0.34,229.9,195.4,1.01845,2.98,0.98,10.9,3,13.33,3.1743119266055047,1.32,4.443333333333333,425.3,32.7,3.9597315436241614
6.8,0.69,0.89,44.8,0.14,126.2,243.0,1.01653,3.04,1.1,12.8,3,8.38,3.4999999999999996,1.2400000000000002,2.7933333333333334,369.2,38.400000000000006,2.236842105263158
10.1,1.29,0.76,39.6,0.315,225.7,348.6,1.02036,3.08,1.26,11.5,3,12.15,3.4434782608695653,1.575,4.05,574.3,34.5,3.279220779220779
11.7,1.07,1.19,51.0,0.275,161.8,206.7,1.01767,3.16,1.04,10.0,3,13.959999999999999,5.1,1.315,4.653333333333333,368.5,30.0,3.70253164556962
8.4,0.82,0.76,47.2,0.343,132.7,213.2,1.01349,3.15,1.31,13.0,3,9.98,3.630769230769231,1.653,3.3266666666666667,345.9,39.0,2.666666666666667
10.0,1.12,0.63,48.2,0.161,218.4,214.3,1.02056,2.98,0.93,10.7,3,11.750000000000002,4.504672897196262,1.091,3.9166666666666674,432.70000000000005,32.099999999999994,3.3557046979865772
11.2,1.01,0.9,47.0,0.22,164.4,146.0,1.00513,3.1,1.36,11.8,3,13.11,3.9830508474576267,1.58,4.37,310.4,35.400000000000006,3.612903225806451
10.8,1.05,1.43,48.0,0.302,174.9,146.8,1.02056,3.32,0.91,10.6,3,13.280000000000001,4.528301886792453,1.212,4.426666666666667,321.70000000000005,31.799999999999997,3.2530120481927716
13.4,0.83,1.38,45.3,0.269,149.7,255.7,1.02459,3.58,0.94,10.6,3,15.61,4.273584905660377,1.209,5.203333333333333,405.4,31.799999999999997,3.7430167597765363
10.5,0.98,0.93,29.9,0.323,234.9,223.9,1.02146,2.96,1.38,11.2,3,12.41,2.669642857142857,1.7029999999999998,4.136666666666667,458.8,33.599999999999994,3.5472972972972974
13.3,0.98,0.47,59.3,0.37,219.6,339.0,1.02486,3.25,1.52,11.1,3,14.750000000000002,5.342342342342342,1.8900000000000001,4.916666666666667,558.6,33.3,4.092307692307693
10.9,0.63,1.41,37.2,0.125,211.2,289.3,1.02871,2.91,1.66,11.2,3,12.940000000000001,3.321428571428572,1.785,4.3133333333333335,500.5,33.599999999999994,3.745704467353952
12.6,1.22,1.1,57.8,0.277,77.4,289.1,1.01253,2.85,1.8,13.1,3,14.92,4.412213740458015,2.077,4.973333333333334,366.5,39.3,4.421052631578947
11.7,1.23,1.43,47.4,0.278,177.9,369.0,1.00659,2.99,1.52,11.6,3,14.36,4.086206896551724,1.798,4.786666666666666,546.9,34.8,3.913043478260869
14.4,1.24,0.97,49.4,0.356,188.9,285.6,1.0232,3.21,1.01,10.9,3,16.61,4.532110091743119,1.366,5.536666666666666,474.5,32.7,4.4859813084112155
10.8,0.43,0.91,27.5,0.367,107.4,162.8,1.01847,3.39,1.35,11.3,3,12.14,2.433628318584071,1.717,4.046666666666667,270.20000000000005,33.900000000000006,3.185840707964602
7.3,0.69,1.06,34.3,0.147,174.9,292.5,1.01355,2.98,1.76,11.5,3,9.05,2.9826086956521736,1.907,3.016666666666667,467.4,34.5,2.4496644295302015
8.8,1.04,1.34,47.6,0.342,109.6,249.2,1.02559,3.24,0.81,12.0,3,11.18,3.966666666666667,1.1520000000000001,3.7266666666666666,358.79999999999995,36.0,2.7160493827160495
12.3,1.09,0.96,39.4,0.232,229.0,221.0,1.02235,3.11,1.55,11.3,3,14.350000000000001,3.486725663716814,1.782,4.783333333333334,450.0,33.900000000000006,3.9549839228295824
9.7,0.48,1.05,28.8,0.213,57.9,355.7,1.02254,3.5,1.76,12.6,3,11.23,2.285714285714286,1.973,3.7433333333333336,413.59999999999997,37.8,2.7714285714285714
7.2,0.94,1.21,34.1,0.154,168.5,269.3,1.01669,3.02,1.31,10.2,3,9.350000000000001,3.3431372549019613,1.464,3.116666666666667,437.8,30.599999999999998,2.384105960264901
11.8,0.62,0.92,33.3,0.213,97.3,241.2,0.99576,3.1,1.15,11.3,3,13.34,2.946902654867256,1.363,4.446666666666666,338.5,33.900000000000006,3.806451612903226
9.7,0.8,0.87,21.8,0.407,106.7,250.3,1.01454,3.11,1.57,13.0,3,11.37,1.676923076923077,1.977,3.7899999999999996,357.0,39.0,3.1189710610932475
13.0,1.28,0.94,18.5,0.159,179.9,315.8,1.00211,3.01,1.63,10.7,3,15.219999999999999,1.7289719626168225,1.789,5.073333333333333,495.70000000000005,32.099999999999994,4.318936877076412
12.3,1.12,0.57,49.3,0.429,155.9,301.6,1.02202,2.9,1.18,11.8,3,13.990000000000002,4.177966101694914,1.609,4.663333333333334,457.5,35.400000000000006,4.241379310344828
10.2,0.83,0.96,42.2,0.355,227.2,273.5,1.02646,2.89,1.62,11.5,3,11.989999999999998,3.6695652173913045,1.975,3.996666666666666,500.7,34.5,3.529411764705882
10.6,0.55,1.21,40.8,0.142,179.1,274.3,1.01232,3.34,0.72,11.2,3,12.36,3.642857142857143,0.862,4.12,453.4,33.599999999999994,3.1736526946107784
11.9,0.59,1.32,46.6,0.283,151.8,127.5,1.02004,3.47,1.68,10.8,3,13.81,4.314814814814815,1.9629999999999999,4.6033333333333335,279.3,32.400000000000006,3.429394812680115
12.0,0.67,0.78,45.9,0.281,192.3,225.8,1.02544,2.87,1.14,11.1,3,13.45,4.135135135135135,1.4209999999999998,4.483333333333333,418.1,33.3,4.181184668989547
10.4,1.36,1.26,55.2,0.151,243.7,350.4,1.02229,3.21,1.33,11.1,3,13.02,4.972972972972974,1.481,4.34,594.0999999999999,33.3,3.2398753894081
9.8,1.19,0.86,38.8,0.229,174.6,384.0,1.01376,3.32,1.09,12.6,3,11.85,3.079365079365079,1.3190000000000002,3.9499999999999997,558.6,37.8,2.951807228915663
8.1,0.96,1.45,53.9,0.11,124.2,350.1,1.02138,2.91,1.59,12.4,3,10.509999999999998,4.346774193548387,1.7000000000000002,3.5033333333333325,474.3,37.2,2.783505154639175
11.0,0.76,0.88,38.0,0.446,159.9,140.5,1.02079,3.32,0.86,10.7,3,12.64,3.551401869158879,1.306,4.213333333333334,300.4,32.099999999999994,3.313253012048193
12.1,1.18,1.08,47.5,0.159,167.1,338.1,1.03278,2.78,1.16,11.0,3,14.36,4.318181818181818,1.319,4.786666666666666,505.20000000000005,33.0,4.352517985611511
12.2,1.15,1.41,48.1,0.457,110.7,377.5,1.01872,2.94,1.17,11.5,3,14.76,4.182608695652174,1.627,4.92,488.2,34.5,4.149659863945578
13.2,0.47,1.34,48.3,0.255,82.2,304.1,1.03039,3.16,0.87,12.6,3,15.01,3.833333333333333,1.125,5.003333333333333,386.3,37.8,4.177215189873417
13.1,1.19,0.98,42.7,0.227,90.5,290.6,1.01754,3.42,1.0,12.7,3,15.27,3.362204724409449,1.227,5.09,381.1,38.099999999999994,3.8304093567251463
10.7,0.73,1.35,38.8,0.318,59.0,191.9,1.02642,3.24,1.32,10.7,3,12.78,3.6261682242990654,1.6380000000000001,4.26,250.9,32.099999999999994,3.3024691358024687
13.3,0.8,1.1,38.9,0.141,143.3,315.6,1.02148,3.19,1.61,12.2,3,15.200000000000001,3.1885245901639343,1.7510000000000001,5.066666666666667,458.90000000000003,36.599999999999994,4.169278996865204
9.3,0.99,1.1,53.7,0.47,208.0,372.7,1.02658,3.09,1.37,11.1,3,11.39,4.837837837837839,1.84,3.796666666666667,580.7,33.3,3.009708737864078
9.1,0.95,0.85,56.4,0.132,161.5,384.0,1.02541,3.1,1.33,12.3,3,10.899999999999999,4.585365853658536,1.4620000000000002,3.633333333333333,545.5,36.900000000000006,2.9354838709677415
13.3,1.32,1.03,55.5,0.339,252.9,348.8,1.01066,3.24,1.29,12.1,3,15.65,4.586776859504132,1.629,5.216666666666667,601.7,36.3,4.104938271604938
12.5,0.6,1.3,58.8,0.302,200.7,329.0,1.0163,3.08,0.54,12.0,3,14.4,4.8999999999999995,0.8420000000000001,4.8,529.7,36.0,4.058441558441558
10.6,0.84,1.0,38.1,0.254,121.8,255.1,1.01662,3.34,1.18,11.7,3,12.44,3.256410256410257,1.434,4.1466666666666665,376.9,35.099999999999994,3.1736526946107784
9.4,1.1,1.36,46.9,0.256,129.4,407.4,1.02546,3.1,1.58,13.1,3,11.86,3.5801526717557253,1.836,3.953333333333333,536.8,39.3,3.032258064516129
9.5,0.95,0.79,48.5,0.321,230.1,223.9,1.02612,3.18,1.07,13.1,3,11.239999999999998,3.702290076335878,1.391,3.746666666666666,454.0,39.3,2.9874213836477987
12.0,0.99,0.72,35.7,0.199,133.6,361.9,1.01537,3.17,1.74,10.7,3,13.71,3.3364485981308416,1.939,4.57,495.5,32.099999999999994,3.7854889589905363
11.0,1.09,1.06,35.1,0.179,212.9,327.2,1.02269,2.95,1.45,11.4,3,13.15,3.0789473684210527,1.629,4.383333333333334,540.1,34.2,3.7288135593220337
9.3,1.13,0.69,47.8,0.326,186.8,301.5,1.01293,3.45,1.26,12.5,3,11.12,3.824,1.586,3.7066666666666666,488.3,37.5,2.6956521739130435
11.2,0.95,1.18,47.5,0.182,186.4,251.8,1.01337,2.93,1.19,11.3,3,13.329999999999998,4.20353982300885,1.3719999999999999,4.4433333333333325,438.20000000000005,33.900000000000006,3.822525597269624
9.3,0.98,1.46,43.3,0.212,111.7,215.2,1.00374,3.11,1.51,12.4,3,11.740000000000002,3.4919354838709675,1.722,3.913333333333334,326.9,37.2,2.9903536977491965
10.2,1.41,1.32,32.9,0.176,195.0,366.0,1.02543,3.11,1.71,13.6,3,12.93,2.4191176470588234,1.886,4.31,561.0,40.8,3.279742765273312
8.7,1.21,1.31,43.4,0.293,181.7,328.9,1.02277,3.29,0.74,11.3,3,11.22,3.8407079646017697,1.033,3.74,510.59999999999997,33.900000000000006,2.644376899696048
10.2,0.71,1.0,49.1,0.212,137.9,141.3,1.00902,3.53,1.14,11.2,3,11.91,4.383928571428572,1.3519999999999999,3.97,279.20000000000005,33.599999999999994,2.8895184135977336
10.8,0.75,0.8,31.9,0.163,218.9,288.3,1.01145,3.32,1.22,12.1,3,12.350000000000001,2.6363636363636362,1.383,4.116666666666667,507.20000000000005,36.3,3.2530120481927716
7.2,1.19,1.15,56.0,0.213,228.6,346.6,1.01616,3.11,1.21,11.3,3,9.540000000000001,4.95575221238938,1.423,3.18,575.2,33.900000000000006,2.315112540192926
10.2,1.04,1.26,27.5,0.309,218.3,107.2,0.99984,3.48,1.37,13.0,3,12.499999999999998,2.1153846153846154,1.679,4.166666666666666,325.5,39.0,2.9310344827586206
8.8,0.71,1.41,40.6,0.126,64.8,271.2,1.00884,3.02,0.78,12.7,3,10.920000000000002,3.1968503937007875,0.906,3.6400000000000006,336.0,38.099999999999994,2.913907284768212
8.5,1.1,0.81,38.3,0.216,225.2,361.2,1.00921,2.98,1.01,11.5,3,10.41,3.3304347826086955,1.226,3.47,586.4,34.5,2.8523489932885906
11.3,0.94,0.49,46.2,0.191,226.3,290.5,1.01611,3.03,1.03,10.9,3,12.73,4.238532110091743,1.221,4.243333333333333,516.8,32.7,3.72937293729373
11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,3,13.94,3.7279411764705888,0.9690000000000001,4.6466666666666665,512.3,40.8,3.5493827160493825
8.1,1.19,1.19,46.9,0.328,66.6,334.8,1.02379,2.93,1.49,13.4,3,10.479999999999999,3.5,1.818,3.4933333333333327,401.4,40.2,2.7645051194539247
10.1,0.94,0.91,32.2,0.202,188.3,206.6,1.01769,3.65,1.22,11.9,3,11.95,2.7058823529411766,1.422,3.983333333333333,394.9,35.7,2.767123287671233
10.4,1.24,0.86,32.3,0.364,194.5,317.0,1.01813,3.22,1.35,11.4,3,12.5,2.833333333333333,1.714,4.166666666666667,511.5,34.2,3.229813664596273
9.9,0.72,0.73,40.3,0.132,250.0,215.0,1.00736,3.13,1.4,12.9,3,11.350000000000001,3.1240310077519378,1.532,3.7833333333333337,465.0,38.7,3.1629392971246006
12.9,0.94,1.16,52.0,0.282,194.8,357.2,1.01062,3.19,1.57,11.9,3,15.0,4.369747899159663,1.852,5.0,552.0,35.7,4.043887147335424
9.7,0.71,1.2,28.3,0.357,102.7,254.0,1.00428,3.16,1.29,13.2,3,11.61,2.143939393939394,1.647,3.8699999999999997,356.7,39.599999999999994,3.0696202531645564
9.5,0.67,1.11,28.6,0.165,199.3,105.4,1.01012,3.51,1.34,13.4,3,11.28,2.1343283582089554,1.5050000000000001,3.76,304.70000000000005,40.2,2.706552706552707
10.0,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,3,11.67,3.6756756756756754,1.853,3.89,295.0,33.3,3.0211480362537766
14.7,0.7,1.23,39.9,0.384,217.8,313.5,1.00797,2.99,1.06,10.7,3,16.63,3.7289719626168227,1.444,5.543333333333333,531.3,32.099999999999994,4.916387959866221
10.9,0.94,0.52,42.7,0.247,229.0,400.0,1.01849,2.95,1.47,9.8,3,12.36,4.357142857142857,1.717,4.12,629.0,29.400000000000002,3.694915254237288
7.9,0.83,1.07,47.0,0.213,112.2,179.1,1.02369,3.26,0.99,11.6,3,9.8,4.051724137931035,1.203,3.266666666666667,291.3,34.8,2.423312883435583
11.3,0.74,1.03,37.6,0.297,186.0,321.8,1.00246,3.19,1.48,10.2,3,13.07,3.686274509803922,1.777,4.3566666666666665,507.8,30.599999999999998,3.5423197492163014
10.9,0.56,0.88,30.9,0.154,231.6,281.4,1.01472,3.24,1.04,12.2,3,12.340000000000002,2.5327868852459017,1.194,4.113333333333334,513.0,36.599999999999994,3.3641975308641974
13.0,0.4,0.7,20.5,0.432,200.9,237.6,1.02162,3.56,1.33,9.7,3,14.1,2.11340206185567,1.762,4.7,438.5,29.099999999999998,3.651685393258427
13.7,0.71,0.85,46.1,0.205,217.5,363.6,1.03563,2.92,0.98,10.5,3,15.26,4.390476190476191,1.185,5.086666666666667,581.1,31.5,4.691780821917808
12.3,1.07,0.59,52.1,0.138,166.3,355.0,1.01152,3.16,1.58,11.3,3,13.96,4.610619469026548,1.718,4.653333333333333,521.3,33.900000000000006,3.892405063291139
11.5,1.23,0.97,20.8,0.225,195.5,157.7,1.01509,3.11,1.39,11.4,3,13.700000000000001,1.8245614035087718,1.615,4.566666666666667,353.2,34.2,3.6977491961414795
13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,3,15.48,3.913793103448276,1.4509999999999998,5.16,367.3,34.8,4.576271186440677
9.9,0.85,1.29,53.5,0.35,97.1,292.0,1.01842,3.07,1.58,11.6,3,12.04,4.612068965517241,1.9300000000000002,4.013333333333333,389.1,34.8,3.224755700325733
12.9,1.08,1.21,33.7,0.23,147.7,258.1,1.00716,3.33,1.77,11.9,3,15.190000000000001,2.831932773109244,2.0,5.0633333333333335,405.8,35.7,3.873873873873874
13.4,1.17,1.41,46.9,0.287,273.4,275.3,1.01168,3.23,1.03,10.7,3,15.98,4.3831775700934585,1.317,5.326666666666667,548.7,32.099999999999994,4.148606811145511
9.7,0.79,0.75,44.4,0.223,169.8,234.5,1.01168,2.86,1.52,11.9,3,11.239999999999998,3.7310924369747895,1.743,3.746666666666666,404.3,35.7,3.3916083916083917
11.5,1.25,0.89,49.0,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,3,13.64,4.414414414414415,1.476,4.546666666666667,396.2,33.3,3.50609756097561
11.7,0.98,1.18,45.4,0.317,194.1,393.0,1.01499,3.14,1.23,11.5,3,13.86,3.9478260869565216,1.547,4.62,587.1,34.5,3.7261146496815285
7.7,1.05,0.65,42.9,0.16,156.5,242.2,1.01827,2.96,0.96,12.2,3,9.4,3.516393442622951,1.1199999999999999,3.1333333333333333,398.7,36.599999999999994,2.6013513513513513
9.1,0.96,0.73,47.6,0.244,196.1,214.0,1.01495,2.99,1.48,11.1,3,10.79,4.288288288288289,1.724,3.5966666666666662,410.1,33.3,3.043478260869565
7.1,0.8,0.96,44.3,0.301,140.4,234.7,1.01759,3.16,1.09,13.7,3,8.86,3.2335766423357666,1.391,2.953333333333333,375.1,41.099999999999994,2.2468354430379747
8.2,0.69,1.09,34.4,0.11,173.1,299.2,0.99931,3.12,1.5,11.8,3,9.979999999999999,2.9152542372881354,1.61,3.326666666666666,472.29999999999995,35.400000000000006,2.6282051282051277
9.3,1.25,1.12,42.0,0.239,119.2,243.6,1.01775,3.15,0.73,12.8,3,11.670000000000002,3.28125,0.969,3.8900000000000006,362.8,38.400000000000006,2.9523809523809526
8.0,0.71,0.96,50.6,0.17,154.6,263.1,1.01218,3.26,1.32,11.5,3,9.670000000000002,4.4,1.49,3.223333333333334,417.70000000000005,34.5,2.4539877300613497
13.1,1.41,0.98,37.6,0.107,194.1,313.2,1.01306,3.05,0.86,11.7,3,15.49,3.213675213675214,0.967,5.163333333333333,507.29999999999995,35.099999999999994,4.295081967213115
10.7,1.43,1.25,28.8,0.18,198.1,360.8,1.01128,3.41,1.37,11.7,3,13.379999999999999,2.4615384615384617,1.55,4.46,558.9,35.099999999999994,3.1378299120234603
11.7,0.71,0.69,46.1,0.366,152.9,379.2,1.01588,2.97,1.67,9.8,3,13.1,4.704081632653061,2.036,4.366666666666666,532.1,29.400000000000002,3.939393939393939
9.0,0.8,0.8,43.3,0.195,71.9,158.2,1.02158,3.0,1.47,11.0,3,10.600000000000001,3.936363636363636,1.665,3.5333333333333337,230.1,33.0,3.0
12.2,1.08,1.07,41.3,0.158,201.6,319.7,1.02318,3.26,1.55,11.2,3,14.35,3.6875,1.708,4.783333333333333,521.3,33.599999999999994,3.7423312883435584
11.1,0.62,0.86,48.3,0.176,176.5,318.3,1.02493,2.98,0.85,12.2,3,12.579999999999998,3.959016393442623,1.026,4.1933333333333325,494.8,36.599999999999994,3.7248322147651005
8.2,1.31,1.07,51.0,0.115,158.6,393.9,1.02163,3.04,0.75,11.3,3,10.58,4.513274336283185,0.865,3.526666666666667,552.5,33.900000000000006,2.6973684210526314
10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,3,11.790000000000001,3.3906249999999996,1.294,3.93,466.9,38.400000000000006,3.503401360544218
12.0,1.33,1.03,30.4,0.247,266.2,336.8,1.02633,3.01,0.91,11.4,3,14.36,2.6666666666666665,1.157,4.786666666666666,603.0,34.2,3.98671096345515
12.1,1.17,1.34,42.0,0.457,176.4,202.0,1.01618,3.0,1.22,12.8,3,14.61,3.28125,1.677,4.87,378.4,38.400000000000006,4.033333333333333
12.1,0.87,1.16,49.1,0.234,97.5,221.4,1.01362,3.03,0.97,10.8,3,14.129999999999999,4.546296296296296,1.204,4.71,318.9,32.400000000000006,3.9933993399339935
13.0,0.82,1.34,54.1,0.309,151.2,231.9,1.01463,3.26,0.81,9.3,3,15.16,5.817204301075268,1.119,5.053333333333334,383.1,27.900000000000002,3.9877300613496933
8.3,0.86,1.41,42.2,0.191,149.9,160.4,1.01225,3.15,1.62,11.2,3,10.57,3.7678571428571432,1.8110000000000002,3.5233333333333334,310.3,33.599999999999994,2.6349206349206353
7.8,1.22,1.2,29.2,0.187,181.2,195.6,1.01635,3.07,1.45,11.3,3,10.219999999999999,2.5840707964601766,1.637,3.4066666666666663,376.79999999999995,33.900000000000006,2.5407166123778504
11.5,0.74,1.03,53.6,0.099,146.8,398.0,1.02866,2.98,1.03,11.5,3,13.27,4.660869565217391,1.129,4.423333333333333,544.8,34.5,3.859060402684564
10.2,0.52,0.87,35.4,0.194,149.9,330.8,1.01269,3.22,1.06,13.3,3,11.589999999999998,2.661654135338346,1.254,3.863333333333333,480.70000000000005,39.900000000000006,3.167701863354037
12.3,1.04,1.13,44.3,0.167,151.5,314.4,0.99585,3.14,1.5,11.6,3,14.469999999999999,3.818965517241379,1.667,4.823333333333333,465.9,34.8,3.9171974522292996
11.7,1.17,0.9,35.3,0.158,227.4,273.0,1.00462,3.16,1.2,10.9,3,13.77,3.2385321100917426,1.3579999999999999,4.59,500.4,32.7,3.70253164556962
11.6,1.07,0.69,41.2,0.21,223.1,302.4,1.02436,3.02,0.89,12.3,3,13.36,3.3495934959349594,1.1,4.453333333333333,525.5,36.900000000000006,3.8410596026490067
11.0,0.72,1.14,47.6,0.14,100.5,263.3,1.0088,3.09,1.08,11.8,3,12.860000000000001,4.033898305084746,1.2200000000000002,4.286666666666667,363.8,35.400000000000006,3.5598705501618126
13.1,0.95,1.15,43.9,0.321,201.4,262.3,1.0216,3.02,1.07,11.4,3,15.2,3.850877192982456,1.391,5.066666666666666,463.70000000000005,34.2,4.337748344370861
13.1,1.19,0.83,50.4,0.37,199.5,308.5,1.01548,3.08,0.89,11.6,3,15.12,4.344827586206897,1.26,5.04,508.0,34.8,4.253246753246753
12.3,0.9,0.86,33.3,0.304,192.2,283.0,1.01921,2.94,1.64,10.0,3,14.06,3.3299999999999996,1.944,4.6866666666666665,475.2,30.0,4.183673469387755
12.0,0.58,1.29,38.7,0.197,171.9,339.0,1.01552,2.93,0.98,12.1,3,13.870000000000001,3.1983471074380168,1.177,4.623333333333334,510.9,36.3,4.09556313993174
